entidade_key,tipo,docs,ocorrencias,exemplo
coopersonhos,ORG,1,1,Coopersonhos
daniel lagos,PER,1,1,Daniel Lagos
daniel ribeiro surdi de avelar,PER,1,1,Daniel Ribeiro Surdi de Avelar
daniela brandao,PER,1,1,Daniela Brandão
daniela brandao ferreira,PER,1,1,Daniela Brandão Ferreira
daniela madeira,PER,1,1,Daniela Madeira
corte de justica,ORG,1,1,Corte de Justiça
coruripe,LOC,1,1,Coruripe
cristiane padim,PER,1,1,Cristiane Padim
cristiano diniz da silva,PER,1,1,Cristiano Diniz da Silva
cristina paula pera,PER,1,1,Cristina Paula Pera
cristina pera,PER,1,1,Cristina Pera
cruzeiro esporte clube,ORG,1,1,Cruzeiro Esporte Clube
cururupu praca do carvalho,LOC,1,1,Cururupu Praça do Carvalho
d esembargador jose lenar,LOC,1,1,D esembargador José Lenar
chapadinha,LOC,1,1,Chapadinha
charles bittencourt,PER,1,1,Charles Bittencourt
davi alcolumbre,PER,1,1,Davi Alcolumbre
davi fiuza,PER,1,1,Davi Fiúza
david panessa baccelli,PER,1,1,David Panessa Baccelli
debora nogueira,PER,1,1,Débora Nogueira
debora zampier,PER,1,1,Débora Zampier
defensoria publica geral do estado,ORG,1,1,Defensoria Pública Geral do Estado
delta,LOC,1,1,Delta
demarcacao,LOC,1,1,Demarcação
daiane,PER,1,1,Daiane
daiane de lira,PER,1,1,Daiane de Lira
daiane de lira nogueira,PER,1,1,Daiane de Lira Nogueira
daiane nogueira,PER,1,1,Daiane Nogueira
dalmo augusto,PER,1,1,Dalmo Augusto
damares medina,PER,1,1,Damares Medina
daniel goncalves de melo,PER,1,1,Daniel Gonçalves de Melo
daniel guimaraes,PER,1,1,Daniel Guimarães
depoimento acolhedor,LOC,1,1,Depoimento Acolhedor
desembargador melo guimaraes,LOC,1,1,Desembargador Melo Guimarães
dessano plum de oliveira,PER,1,1,Dessano Plum de Oliveira
diamantina,LOC,1,1,Diamantina
diario de justica eletronico nacional,MEDIA,1,1,Diário de Justiça Eletrônico Nacional
diario de pilar,MEDIA,1,1,Diário de Pilar
dias toffoli,PER,1,1,Dias Toffoli
diego de oliveira silva,PER,1,1,Diego de Oliveira Silva
diego ramirez grigio silva,PER,1,1,Diego Ramirez Grigio Silva
dilma cristina de assis parreiras,PER,1,1,Dilma Cristina de Assis Parreiras
dinart francisco machado,PER,1,1,Dinart Francisco Machado
daniela valle da rocha muller,PER,1,1,Daniela Valle da Rocha Muller
danielli rabelo,PER,1,1,Danielli Rabelo
danilo marques,PER,1,1,Danilo Marques
dante freitas,PER,1,1,Dante Freitas
darcy da silva costa,PER,1,1,Darcy da Silva Costa
centro educacional aguas do cerrado,LOC,1,1,Centro Educacional Águas do Cerrado
centro integrado de atencao a populacao em situacao de rua,LOC,1,1,Centro Integrado de Atenção à População em Situação de Rua
centro judiciario de conciliacao,LOC,1,1,Centro Judiciário de Conciliação
centro judiciario de conciliacao da justica federal no tocantins,LOC,1,2,Centro Judiciário de Conciliação da Justiça Federal no Tocantins
centro judiciario de solucao de conflitos e cidadania,LOC,1,1,Centro Judiciário de Solução de Conflitos e Cidadania
centro judiciario de solucao de conflitos e cidadania da zona norte,LOC,1,1,Centro Judiciário de Solução de Conflitos e Cidadania da Zona Norte
centro socioeducativo de internacao masculina,LOC,1,1,Centro Socioeducativo de Internação Masculina
centros judiciarios de solucao de conflitos e cidadania,LOC,1,1,Centros Judiciários de Solução de Conflitos e Cidadania
cesar cury,PER,1,1,Cesar Cury
chapada,LOC,1,1,Chapada
chapada da natividade,LOC,1,1,Chapada da Natividade
chapada dos guimaraes,LOC,1,4,Chapada dos Guimarães
denise marsico,PER,1,1,Denise Marsico
denise marsico do couto,PER,1,1,Denise Marsico do Couto
departamento nacional da policia judicial,ORG,1,1,Departamento Nacional da Polícia Judicial
departamento nacional de policia judicial,ORG,1,1,Departamento Nacional de Polícia Judicial
eduardo marques,PER,1,2,Eduardo Marques
eduardo serrano da rocha,PER,1,1,Eduardo Serrano da Rocha
diniz,PER,1,1,Diniz
diogo haruo da silva tanaka,PER,1,1,Diogo Haruo da Silva Tanaka
diogo moreira,PER,1,1,Diogo Moreira
diogo thomson de andrade,PER,1,1,Diogo Thomson de Andrade
direitos,LOC,1,1,Direitos
distrito de caramujo,LOC,1,1,Distrito de Caramujo
distrito sanitario especial indigena amapa e norte,LOC,1,1,Distrito Sanitário Especial Indígena Amapá e Norte
distrito sanitario especial indigena leste de roraima,LOC,1,1,Distrito Sanitário Especial Indígena — Leste de Roraima
distrito sanitario especial indigena yanomami,LOC,1,1,Distrito Sanitário Especial Indígena Yanomami
divoncir schreiner maran,PER,1,1,Divoncir Schreiner Maran
dom phillips,PER,1,1,Dom Phillips
domingos daniel martinho,PER,1,1,Domingos Daniel Martinho
domingos daniel moutinho da conceicao filho,PER,1,1,Domingos Daniel Moutinho da Conceição Filho
centro dom helder camara de estudos e acao social,ORG,1,1,Centro Dom Helder Câmara de Estudos e Ação Social
elen de freitas barbosa,PER,1,1,Elen de Freitas Barbosa
elena rocha,PER,1,1,Elena Rocha
elfrida belleza,PER,1,1,Elfrida Belleza
eliane nascimento,PER,1,1,Eliane Nascimento
domingos nunes,PER,1,1,Domingos Nunes
dorival renato pavan,PER,1,1,Dorival Renato Pavan
dorotheo barbosa neto,PER,1,1,Dorotheo Barbosa Neto
dourados,LOC,1,1,Dourados
eder viegas,PER,1,1,Eder Viegas
edison brandao,PER,1,1,Edison Brandão
edmundo fraga lopes,PER,1,1,Edmundo Fraga Lopes
ednaldo araujo,PER,1,1,Ednaldo Araújo
edno moura,PER,1,1,Edno Moura
edson lessa,PER,1,1,Edson Lessa
eduardo carrera da costa,PER,1,1,Eduardo Carrera da Costa
eduardo carvalho,PER,1,1,Eduardo Carvalho
ensino e reabilitacao,LOC,1,1,Ensino e Reabilitação
epitacio quezado junior,PER,1,1,Epitácio Quezado Júnior
erick linhares,PER,1,1,Erick Linhares
erivan lopes,PER,1,1,Erivan Lopes
escola camilo salgado,LOC,1,1,Escola Camilo Salgado
escola de direito de sao paulo da fundacao getulio vargas,ORG,1,1,Escola de Direito de São Paulo da Fundação Getúlio Vargas
eduardo tagliaferro,PER,1,3,Eduardo Tagliaferro
eduardo tonetto picarelli,PER,1,1,Eduardo Tonetto Picarelli
edvaldo maximilien,PER,1,1,Edvaldo Maximilien
efigenio sales,PER,1,1,Efigênio Sales
elaine freixo seixas,PER,1,1,Elaine Freixo Seixas
eldon victor ferreira,PER,1,1,Eldon Victor Ferreira
eldorado do carajas,LOC,1,3,Eldorado do Carajás
eleitor do futuro,MEDIA,1,1,Eleitor do Futuro
eleitorais,LOC,1,1,Eleitorais
eleitoral,LOC,1,1,Eleitoral
escola estadual de tempo integral professora oneide da cruz mousinho,LOC,1,1,Escola Estadual de Tempo Integral Professora Oneide da Cruz Mousinho
escola estadual indigena camilo narciso,LOC,1,1,Escola Estadual Indígena Camilo Narciso
escola estadual jose da silva camerino,LOC,1,1,Escola Estadual José da Silva Camerino
escola estadual princesa isabel,LOC,1,1,Escola Estadual Princesa Isabel
escola indigena pedro antonio de oliveira,LOC,1,1,Escola Indígena Pedro Antônio de Oliveira
escola jose sena,LOC,1,1,Escola José Sena
escola judicial,ORG,1,1,Escola Judicial
escola judicial de pernambuco,ORG,1,1,Escola Judicial de Pernambuco
elisa calcaterra,PER,1,1,Elisa Calcaterra
elisa lucinda,PER,1,1,Elisa Lucinda
elisangela lima da silva,PER,1,1,Elisângela Lima da Silva
eliziane gama,PER,1,1,Eliziane Gama
elmano de freitas,PER,1,1,Elmano de Freitas
elvira rubina santana paiva,PER,1,1,Elvira Rubina Santana Paiva
empresa brasileira de servicos hospitalares,ORG,1,1,Empresa Brasileira de Serviços Hospitalares
empresa brasiliense engenharia e reurb participacoes ltda,ORG,1,1,Empresa Brasiliense Engenharia e Reurb Participações Ltda
centro assistencial paz,LOC,1,1,Centro Assistencial Paz
centro cultural do poder judiciario do estado do rio de janeiro,LOC,1,1,Centro Cultural do Poder Judiciário do Estado do Rio de Janeiro
centro de acesso a direitos e inclusao social,LOC,1,1,Centro de Acesso a Direitos e Inclusão Social
centro de atendimento socioeducativo,LOC,1,1,Centro de Atendimento Socioeducativo
centro de convencoes ruth cardoso,LOC,1,1,Centro de Convenções Ruth Cardoso
centro de detencao de caceres,LOC,1,1,Centro de Detenção de Cáceres
centro de detencao provisorio masculino de caceres,LOC,1,1,Centro de Detenção Provisório Masculino de Cáceres
centro de internacao provisoria,LOC,1,1,Centro de Internação Provisória
centro de saude da barra da lagoa,LOC,1,2,Centro de Saúde da Barra da Lagoa
centro de treinamento presidente george helal,LOC,1,1,Centro de Treinamento Presidente George Helal –
escola de magistrados e servidores do tribunal regional federal da 4a regiao,LOC,1,1,Escola de Magistrados e Servidores do Tribunal Regional Federal da 4ª Região
escola de tempo integral jardenir jorge frederico,LOC,1,1,Escola de Tempo Integral Jardenir Jorge Frederico
escola do trf - 4,LOC,1,1,Escola do TRF - 4
escola edmundo pinto de almeida neto,LOC,1,1,Escola Edmundo Pinto de Almeida Neto
escola estadual almada brito,LOC,1,1,Escola Estadual Almada Brito
escola estadual de ensino medio em tempo integral instituto dos cegos,LOC,1,1,Escola Estadual de Ensino Médio em Tempo Integral Instituto dos Cegos
escola judicial do amapa,LOC,1,1,Escola Judicial do Amapá
escola judicial do tribunal regional do trabalho da 7a regiao,LOC,1,1,Escola Judicial do Tribunal Regional do Trabalho da 7ª Região
escola maria firmino chaves,LOC,1,1,Escola Maria Firmino Chaves
escola municipal de ensino fundamental,LOC,1,1,Escola Municipal de Ensino Fundamental
escola municipal de ensino fundamental professora aurea cunha,LOC,1,1,Escola Municipal de Ensino Fundamental Professora Aurea Cunha
escola municipal indigena francisco farias,LOC,1,1,Escola Municipal Indígena Francisco Farias
escola municipal paulo afonso de azevedo mesquita,LOC,1,1,Escola Municipal Paulo Afonso de Azevedo Mesquita
escola nacional d,ORG,1,1,Escola Nacional d
escola nacional de formacao e aperfeicoa,ORG,1,1,Escola Nacional de Formação e Aperfeiçoa
escola superior da magistratura do estado do ceara,LOC,1,1,Escola Superior da Magistratura do Estado do Ceará
escola superior do tribunal regional federal da 4a regiao,LOC,1,1,Escola Superior do Tribunal Regional Federal da 4ª Região
escritorio das nacoes unidas sobre drogas e crime,ORG,1,1,Escritório das Nações Unidas sobre Drogas e Crime
celia regina zapparolli,PER,1,1,Célia Regina Zapparolli
central de audiencias da capital,LOC,1,1,Central de Audiências da Capital
central nacional de protesto,ORG,1,1,Central Nacional de Protesto
centro,LOC,1,1,Centro
fabiana esperidiao da silva,PER,1,1,Fabiana Esperidião da Silva
fabio,PER,1,1,Fabio
escritos do asfalto,MEDIA,1,1,Escritos do Asfalto
escuta qualificada,LOC,1,1,Escuta Qualificada
"espaco justica, cultura e arte desembargador gervasio leite",LOC,1,1,"Espaço Justiça, Cultura e Arte Desembargador Gervásio Leite"
especiais de mato grosso,LOC,1,1,Especiais de Mato Grosso
especial,LOC,1,1,Especial
especial da fazenda publica,LOC,1,1,Especial da Fazenda Pública
especial do tribunal de justica da paraiba,LOC,1,1,Especial do Tribunal de Justiça da Paraíba
espigao alto do iguacu,LOC,1,1,Espigão Alto do Iguaçu
esporte clube bahia,ORG,1,1,Esporte Clube Bahia
estacao central do metro do recife,LOC,1,1,Estação Central do Metrô do Recife
estacao do cuidado,LOC,1,1,Estação do Cuidado
estado da bahia,LOC,1,1,Estado da Bahia
estado de mato grosso,LOC,1,1,Estado de Mato Grosso
estado de mato grosso do sul,LOC,1,1,Estado de Mato Grosso do Sul
favela,LOC,1,1,Favela
fazenda barra do rio cahy,LOC,1,1,Fazenda Barra do Rio Cahy
fazendo justica,MEDIA,1,1,Fazendo Justiça
febraban,ORG,1,2,Febraban
federacao brasileira de bancos,ORG,1,1,Federação Brasileira de Bancos
estado de sao paulo,LOC,1,1,Estado de São Paulo
estado do ceara,LOC,1,1,Estado do Ceará
estado do piaui,LOC,1,1,Estado do Piauí
estado do rio de janeiro,LOC,1,1,Estado do Rio de Janeiro
estados unidos,LOC,1,1,Estados Unidos
ester vargas,PER,1,1,Ester Vargas
estonia,LOC,1,1,Estônia
eugenia zamora chavarria,PER,1,1,Eugenia Zamora Chavarría
everton tischer,PER,1,1,Everton Tischer
expedicao araguaia - xingu,EVE,1,1,Expedição Araguaia - Xingu
extrajudicial,LOC,1,2,Extrajudicial
felipe taborda,PER,1,1,Felipe Taborda
felipe viegas da silva,PER,1,1,Felipe Viegas da Silva
felix fischer,PER,1,3,Felix Fischer
fellipe alves divino lima,PER,1,1,Fellipe Alves Divino Lima
fernanda ely borba,PER,1,1,Fernanda Ely Borba
fernanda maria da costa vieira,PER,1,1,Fernanda Maria da Costa Vieira
fernanda paixao araujo pinto,PER,1,1,Fernanda Paixão Araujo Pinto
fernanda portella sampaio,PER,1,1,Fernanda Portella Sampaio
fernanda souza mendes maciel ferreira,PER,1,1,Fernanda Souza Mendes Maciel Ferreira
fabio ataide,PER,1,1,Fábio Ataíde
fabio collado,PER,1,1,Fábio Collado
fabricio drummond,PER,1,1,Fabrício Drummond
faculdade de direito da universidade de sao paulo,LOC,1,1,Faculdade de Direito da Universidade de São Paulo
familia e infancia e juventude,LOC,1,1,Família e Infância e Juventude
fatima maranhao,PER,1,1,Fátima Maranhão
fatima piraua,PER,1,1,Fátima Pirauá
fernando mendonca,PER,1,1,Fernando Mendonça
fernando nascimento dos santos,PER,1,1,Fernando Nascimento dos Santos
figueiropolis,LOC,1,3,Figueirópolis
filadelfia,LOC,1,1,Filadélfia
filomena buarque,PER,1,1,Filomena Buarque
fiocruz,ORG,1,1,Fiocruz
flavia afini bovo,PER,1,1,Flávia Afini Bovo
flavio dino,PER,1,1,Flávio Dino
flavio jose roman,PER,1,1,Flávio José Roman
florestal do estado de sao paulo,LOC,1,1,Florestal do Estado de São Paulo
federacao da agricultura e pecuaria,ORG,1,1,Federação da Agricultura e Pecuária
federacao gaucha de futebol,ORG,1,1,Federação Gaúcha de Futebol
federais especiais,LOC,1,1,Federais Especiais
federal da bahia,LOC,1,1,Federal da Bahia
federal de mato grosso do sul,LOC,1,1,Federal de Mato Grosso do Sul
felipe rocha,PER,1,1,Felipe Rocha
cartorio do registro civil das pessoas naturais de araguaina,LOC,1,1,Cartório do Registro Civil das Pessoas Naturais de Araguaína
caruaru,LOC,1,1,Caruaru
casa da mulher brasileira,LOC,1,1,Casa da Mulher Brasileira
casa de semiliberdade,LOC,1,1,Casa de Semiliberdade
casa lar cia katua,LOC,1,1,Casa Lar Ciã Katuá
casas de justica e cidadania,LOC,1,1,Casas de Justiça e Cidadania
cascavel,LOC,1,1,Cascavel
cassia silva andrade,PER,1,1,Cássia Silva Andrade
cassinelza da costa lopes santos,PER,1,1,Cassinelza da Costa Lopes Santos
castelo de bonecas,LOC,1,1,Castelo de Bonecas
cathia portela martins,PER,1,1,Cathia Portela Martins
fernanda uchoa,PER,1,1,Fernanda Uchôa
fernando antonio prazeres,PER,1,1,Fernando Antonio Prazeres
fernando correa filho,PER,1,1,Fernando Corrêa Filho
fernando eduardo hack,PER,1,1,Fernando Eduardo Hack
fernando facury scaff,PER,1,1,Fernando Facury Scaff
forum nacional de conciliacao e mediacao,ORG,1,1,Fórum Nacional de Conciliação e Mediação
forca aerea brasileira,ORG,1,1,Força Aérea Brasileira
forca nacional de seguranca publica,ORG,1,1,Força Nacional de Segurança Pública
forcas armadas,ORG,1,1,Forças Armadas
foro central da comarca da regiao metropolitana de curitiba,LOC,1,1,Foro Central da Comarca da Região Metropolitana de Curitiba
foro central i,LOC,1,1,Foro Central I
foro da secao judiciaria,LOC,1,1,Foro da Seção Judiciária
foro extrajudicial de goias,LOC,1,1,Foro Extrajudicial de Goiás
forum ambiental do poder judiciario,ORG,1,1,Fórum Ambiental do Poder Judiciário
forum brasileiro de seguranca publica,ORG,1,1,Fórum Brasileiro de Segurança Pública
forum clemente mariani,LOC,1,1,Fórum Clemente Mariani
forum criminal da barra funda,LOC,1,1,Fórum Criminal da Barra Funda
carollina lauriano,PER,1,1,Carollina Lauriano
cartorio de oiapoque,LOC,1,1,Cartório de Oiapoque
cartorio de registro civil,LOC,1,1,Cartório de Registro Civil
cartorio de registro de imoveis,LOC,1,1,Cartório de Registro de Imóveis
franciele,PER,1,1,Franciele
franciele pereira,PER,1,1,Franciele Pereira
franciele pereira do nascimento,PER,1,1,Franciele Pereira do Nascimento
francisca formigosa,PER,1,1,Francisca Formigosa
forum da capital,LOC,1,1,Fórum da Capital
forum da comarca de chapada dos guimaraes,LOC,1,1,Fórum da Comarca de Chapada dos Guimarães
forum da justica da infancia e da juventude,LOC,1,1,Fórum da Justiça da Infância e da Juventude
forum de cabrobo,LOC,1,1,Fórum de Cabrobó
forum de justica,LOC,1,2,Fórum de Justiça
forum de justica henoch reis,LOC,1,1,Fórum de Justiça Henoch Reis
forum des. sebastiao leopoldo mesquita campos,LOC,1,1,Fórum Des. Sebastião Leopoldo Mesquita Campos
forum desembargador joao batista guerra barreto,LOC,1,1,Fórum Desembargador João Batista Guerra Barreto
forum dos juizados especiais,LOC,1,1,Fórum dos Juizados Especiais
forum geral desembargador cesar montenegro,LOC,1,1,Fórum Geral Desembargador César Montenegro
forum nacional da infancia e juventude,ORG,1,1,Fórum Nacional da Infância e Juventude
forum nacional da mediacao e conciliacao,ORG,1,1,Fórum Nacional da Mediação e Conciliação
frank eugenio zakalhuk,PER,1,2,Frank Eugênio Zakalhuk
fredson pinheiro,PER,1,1,Fredson Pinheiro
froz sobrinho,PER,1,1,Froz Sobrinho
funai,ORG,1,1,Funai
fundacao biblioteca nacional,LOC,1,1,Fundação Biblioteca Nacional
fundacao de vigilancia em saude,ORG,1,1,Fundação de Vigilância em Saúde
forum nacional do poder judiciario para a equidade racial,ORG,1,1,Fórum Nacional do Poder Judiciário para a Equidade Racial
forum nacional do poder judiciario para o combate,ORG,1,1,Fórum Nacional do Poder Judiciário para o Combate
forum nacional do poder judiciario para o meio ambiente,ORG,1,1,Fórum Nacional do Poder Judiciário para o Meio Ambiente
forum nacional do poder judiciario pela equidade racial,ORG,1,1,Fórum Nacional do Poder Judiciário pela Equidade Racial
forum thomaz de aquino,LOC,1,1,Fórum Thomaz de Aquino
forum thomaz de aquino cyrillo wanderley,LOC,1,1,Fórum Thomaz de Aquino Cyrillo Wanderley
forum trabalhista ruy barbosa,LOC,1,1,Fórum Trabalhista Ruy Barbosa
fotovoltaica diogo,LOC,1,1,Fotovoltaica Diogo
foz do iguacu,LOC,1,1,Foz do Iguaçu
france cruz,PER,1,1,France Cruz
carlos augusto gomes lobo,PER,1,1,Carlos Augusto Gomes Lôbo
carlos augusto pires brandao,PER,1,1,Carlos Augusto Pires Brandão
carlos cavalcanti,PER,1,1,Carlos Cavalcanti
carlos eduardo menezes da costa,PER,1,1,Carlos Eduardo Menezes da Costa
carlos eduardo pedone,PER,1,1,Carlos Eduardo Pedone
carlos henrique abrao,PER,1,1,Carlos Henrique Abrão
carlos muta,PER,1,1,Carlos Muta
carlos tork,PER,1,1,Carlos Tork
carmo antonio,PER,1,1,Carmo Antônio
carol amaral costa savino,PER,1,1,Carol Amaral Costa Savino
francisca galiza,PER,1,1,Francisca Galiza
francisco batista de souza,PER,1,1,Francisco Batista de Souza
francisco ferreira jorge neto,PER,1,1,Francisco Ferreira Jorge Neto
francisco jose monteiro junior,PER,1,1,Francisco José Monteiro Junior
francisco rodrigues de oliveira neto,PER,1,1,Francisco Rodrigues de Oliveira Neto
francisco ronaldo maciel oliveira,PER,1,1,Francisco Ronaldo Maciel Oliveira
fundacao nacional do indio,ORG,1,1,Fundação Nacional do Índio
fundacao nova chance,ORG,1,1,Fundação Nova Chance
fundacao oswaldo cruz,ORG,1,1,Fundação Oswaldo Cruz
fundo de populacao das nacoes unidas,ORG,1,1,Fundo de População das Nações Unidas
fundo estadual de saude,ORG,1,1,Fundo Estadual de Saúde
fundo municipal para a crianca e o adolescente,ORG,1,1,Fundo Municipal para a Criança e o Adolescente
fundo notarial e registral,ORG,1,1,Fundo Notarial e Registral
gabriel lisboa,PER,1,2,Gabriel Lisboa
gabriel zefiro,PER,1,1,Gabriel Zéfiro
gabriela almeida,PER,1,1,Gabriela Almeida
gabriela john,PER,1,1,Gabriela John
gabriela lenz,PER,1,1,Gabriela Lenz
caracarai,LOC,1,1,Caracaraí
carina prado,PER,1,1,Carina Prado
carla joyce gomes alarcon de paula,PER,1,1,Carla Joyce Gomes Alarcon de Paula
carlinhos brown,PER,1,1,Carlinhos Brown
gleydson gadelha,PER,1,1,Gleydson Gadelha
gleyson moreira,PER,1,1,Gleyson Moreira
gameleira,LOC,1,1,Gameleira
garuva,LOC,1,1,Garuva
gary bolles,PER,1,1,Gary Bolles
geder gomes,PER,1,1,Geder Gomes
general rondon,LOC,1,1,General Rondon
gentil,LOC,1,1,Gentil
geovanna pires,PER,1,1,Geovanna Pires
geraldo alchmin,PER,1,1,Geraldo Alchmin
gerbeli salgado,PER,1,1,Gerbeli Salgado
gericino,LOC,1,1,Gericinó
gervasio protasio dos santos junior,PER,1,1,Gervásio Protásio dos Santos Júnior
getulio vargas,PER,1,1,Getúlio Vargas
gilberto amorim,PER,1,1,Gilberto Amorim
gilberto bahia de oliveira,PER,1,1,Gilberto Bahia de Oliveira
grupo companhia das letras,ORG,1,1,Grupo Companhia das Letras
grupo d or,ORG,1,1,Grupo D ’ Or
grupo editorial companhia das letras,ORG,1,1,Grupo Editorial Companhia das Letras
guaraci de campos vianna,PER,1,2,Guaraci de Campos Vianna
guarani,LOC,1,1,Guarani
gilberto leme marcos garcia,PER,1,1,Gilberto Leme Marcos Garcia
gilson daniel,PER,1,1,Gilson Daniel
ginasio tancredao,LOC,1,1,Ginásio Tancredão
giordane dourado,PER,1,1,Giordane Dourado
giovanni olsson,PER,1,1,Giovanni Olsson
gisele guida,PER,1,1,Gisele Guida
gisele pereira de assuncao veronezi,PER,1,1,Gisele Pereira de Assunção Veronezi
giselly siqueira,PER,1,1,Giselly Siqueira
glaucio araujo,PER,1,1,Gláucio Araújo
glaucio roberto brittes de araujo,PER,1,1,Gláucio Roberto Brittes de Araújo
gleba rio preto,LOC,1,1,Gleba Rio Preto
camila guerin,PER,1,1,Camila Guerin
camila hernandes,PER,1,1,Camila Hernandes
caminhos,MEDIA,1,1,Caminhos
campeonato brasileiro,EVE,1,1,Campeonato Brasileiro
candice jobim,PER,1,1,Candice Jobim
canutama,LOC,1,1,Canutama
capanema,LOC,1,3,Capanema
capitaes de areia,MEDIA,1,1,Capitães de Areia
goianesia,LOC,1,3,Goianésia
goncalo brandao de sousa,PER,1,1,Gonçalo Brandão de Sousa
governador valadares,LOC,1,2,Governador Valadares
graca amorim,PER,1,1,Graça Amorim
grajau,LOC,1,1,Grajaú
grande hall do palacio da democracia,LOC,1,1,Grande Hall do Palácio da Democracia
gremio foot - ball porto alegrense,ORG,1,1,Grêmio Foot - Ball Porto Alegrense
grupo 123 milhas,ORG,1,1,Grupo 123 Milhas
guarulhos,LOC,1,1,Guarulhos
guilherme guimaraes feliciano,PER,1,1,Guilherme Guimarães Feliciano
guilherme peixoto resende,PER,1,1,Guilherme Peixoto Resende
guine,LOC,1,1,Guiné
guine equatorial,LOC,1,1,Guiné Equatorial
gustavo brocchi,PER,1,1,Gustavo Brocchi
hadma christina murta campos,PER,1,1,Hadma Christina Murta Campos
haia,LOC,1,2,Haia
haiti,LOC,1,1,Haiti
harley caixeta,PER,1,1,Harley Caixeta
harven agribusiness school,ORG,1,1,Harven Agribusiness School
hedmo macedo dos santos,PER,1,1,Hedmo Macedo dos Santos
hellen falcao de carvalho,PER,1,1,Hellen Falcão de Carvalho
heloisa dos santos de aquino,PER,1,1,Heloísa dos Santos de Aquino
camara municipal de vereadores,LOC,1,1,Câmara Municipal de Vereadores
camara nacional de gestores de precatorios,ORG,1,1,Câmara Nacional de Gestores de Precatórios
ileana neiva mousinho,PER,1,1,Ileana Neiva Mousinho
ilha da assuncao,LOC,1,1,Ilha da Assunção
help,LOC,1,1,Help
henrique dada paiva,PER,1,1,Henrique Dada Paiva
henrique jorge holanda,PER,1,1,Henrique Jorge Holanda
henrique jorge holanda silveira,PER,1,1,Henrique Jorge Holanda Silveira
hermes lima,PER,1,1,Hermes Lima
herminegilda leite machado,PER,1,1,Herminegilda Leite Machado
hildemar meneguzzi de carvalho,PER,1,1,Hildemar Meneguzzi de Carvalho
holanda,LOC,1,1,Holanda
hospital albert einstein,LOC,1,1,Hospital Albert Einstein
hospital da mulher,LOC,1,1,Hospital da Mulher
hospital das clinicas da faculdade de medicina da usp,LOC,1,1,Hospital das Clínicas da Faculdade de Medicina da USP
hospital das clinicas da universidade de sao paulo,LOC,1,1,Hospital das Clínicas da Universidade de São Paulo
hospital das clinicas de porto alegre,LOC,1,2,Hospital das Clínicas de Porto Alegre
hospital de amor,LOC,1,1,Hospital de Amor
instituto amapa terras,ORG,1,1,Instituto Amapá Terras
instituto banco vermelho,ORG,1,1,Instituto Banco Vermelho
instituto brasileiro de direito imobiliario,ORG,1,1,Instituto Brasileiro de Direito Imobiliário
instituto brasileiro do meio ambiente e dos recursos naturais renovaveis,ORG,1,1,Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis
hospital de ensino e laboratorios de pesquisa,LOC,1,1,Hospital de Ensino e Laboratórios de Pesquisa
hospital israelita albert einstein,LOC,1,1,Hospital Israelita Albert Einstein
hospital sao joao xxiii,LOC,1,1,Hospital São João XXIII
hugo motta,PER,1,1,Hugo Motta
humaita,LOC,1,1,Humaitá
humberto de campos,LOC,1,1,Humberto de Campos
ian cavalcante,PER,1,1,Ian Cavalcante
ibge,ORG,1,1,IBGE
igor de carvalho leal campagnolli,PER,1,1,Igor de Carvalho Leal Campagnolli
igreja do bonfim,LOC,1,1,Igreja do Bonfim
igreja nossa senhora da conceicao da praia,LOC,1,1,Igreja Nossa Senhora da Conceição da Praia
igreja nova,LOC,1,2,Igreja Nova
instituto de politicas publicas em direitos humanos do mercosul,ORG,1,1,Instituto de Políticas Públicas em Direitos Humanos do Mercosul
instituto de terras,ORG,1,1,Instituto de Terras
instituto do cancer,ORG,1,1,Instituto do Câncer
instituto do desenvolvimento agrario do ceara,ORG,1,1,Instituto do Desenvolvimento Agrário do Ceará
instituto dos cegos,LOC,1,1,Instituto dos Cegos
instituto fazendo historia,ORG,1,1,Instituto Fazendo História
instituto medico legal,LOC,1,1,Instituto Médico Legal
ilha de marajo,LOC,1,1,Ilha de Marajó
ilha do bananal,LOC,1,1,Ilha do Bananal
ilha do combu,LOC,1,1,Ilha do Combu
ilha do marajo,LOC,1,1,Ilha do Marajó
ilson alves pequeno junior,PER,1,1,Ilson Alves Pequeno Junior
incra,ORG,1,1,Incra
inez aparecida dos santos,PER,1,1,Inez Aparecida dos Santos
infancia e juventude,LOC,1,1,Infância e Juventude
ingo wolfgan,PER,1,1,Ingo Wolfgan
isabely mota,PER,1,1,Isabely Mota
isaias fonseca moraes,PER,1,1,Isaias Fonseca Moraes
italia,LOC,1,2,Itália
itaocara,LOC,1,1,Itaocara
itapeua,LOC,1,1,Itapéua
ivana david,PER,1,1,Ivana David
ivana farina,PER,1,1,Ivana Farina
ivana magaldi,PER,1,1,Ivana Magaldi
instituto chico mendes de conservacao da biodiversidade,ORG,1,1,Instituto Chico Mendes de Conservação da Biodiversidade
instituto de administracao penitenciaria do acre,ORG,1,1,Instituto de Administração Penitenciária do Acre
instituto de auditores internos,ORG,1,1,Instituto de Auditores Internos
instituto de desenvolvimento de inovacoes aplicadas ( ideiais,ORG,1,1,Instituto de Desenvolvimento de Inovações Aplicadas ( Ideiais
